"name","chr","pos"
"M1",1,0.2
"M2",1,1.1
"M3",1,2.1
"M4",1,3.1
"M5",1,4.1
"M6",1,5.1
"M7",1,6.1
"M8",1,7.1
"M9",1,8.1
"M10",1,9.1
"M11",1,10.1
"M12",1,11.1
"M13",1,12.1
"M14",1,13.1
"M15",1,14.1
"M16",1,15.1
"M17",1,16.1
"M18",1,17.1
"M19",1,18.1
"M20",1,19.1
"M21",1,20.1
"M22",1,21.1
"M23",1,22.1
"M24",1,23.1
"M25",1,24.1
"M26",1,25.1
"M27",1,26.1
"M28",1,27.1
"M29",1,28.1
"M30",1,29.1
"M31",1,30.1
"M32",1,31.1
"M33",1,32.1
"M34",1,33.1
"M35",1,34.1
"M36",1,35.1
"M37",1,36.1
"M38",1,37.1
"M39",1,38.1
"M40",1,39.1
"M41",1,40.1
"M42",1,41.1
"M43",1,42.1
"M44",1,43.1
"M45",1,44.1
"M46",1,45.1
"M47",1,46.1
"M48",1,47.1
"M49",1,48.1
"M50",1,49.1
"M51",1,50.1
"M52",1,51.1
"M53",1,52.1
"M54",1,53.1
"M55",1,54.1
"M56",1,55.1
"M57",1,56.1
"M58",1,57.1
"M59",1,58.1
"M60",1,59.1
"M61",1,60.1
"M62",1,61.1
"M63",1,62.1
"M64",1,63.1
"M65",1,64.1
"M66",1,65.1
"M67",1,66.1
"M68",1,67.1
"M69",1,68.1
"M70",1,69.1
"M71",1,70.1
"M72",1,71.1
"M73",1,72.1
"M74",1,73.1
"M75",1,74.1
"M76",1,75.1
"M77",1,76.1
"M78",1,77.1
"M79",1,78.1
"M80",1,79.1
"M81",1,80.1
"M82",1,81.1
"M83",1,82.1
"M84",1,83.1
"M85",1,84.1
"M86",1,85.1
"M87",1,86.1
"M88",1,87.1
"M89",1,88.1
"M90",1,89.1
"M91",1,90.1
"M92",1,91.1
"M93",1,92.1
"M94",1,93.1
"M95",1,94.1
"M96",1,95.1
"M97",1,96.1
"M98",1,97.1
"M99",1,98.1
"M100",1,99.1
"M101",2,0.2
"M102",2,1.1
"M103",2,2.1
"M104",2,3.1
"M105",2,4.1
"M106",2,5.1
"M107",2,6.1
"M108",2,7.1
"M109",2,8.1
