geno,pop,GDDTAS,GDDTSS,GDDTASIS,PHS,EHS,TLNS,GDDTAW,GDDTSW,GDDTASIW,PHW,EHW,TLNW,GDDTAP,GDDTSP,GDDTASIP,PHP,EHP,TLNP
05CL_2681,B73xCML254,1069.562989,1141.880743,64.30600728,156.3286545,60.07273152,21.2137255,983.3537027,1018.101566,34.02057138,138.4054814,67.42326024,19.5481273,86.20928628,123.7791766,30.28543591,17.92317304,-7.350528721,1.665598195
05CL_2682,B73xCML254,1086.193734,1153.133797,56.70367771,152.4958931,67.20976327,23.51995556,906.3686553,913.7026898,8.78165942,137.829902,63.28217845,19.30742484,179.8250785,239.4311069,47.92201829,14.66599106,3.92758482,4.212530713
05CL_2686,B73xCML254,1071.057436,1168.558063,73.74341047,176.260504,84.91652531,22.50245232,915.9642529,928.3440426,12.1287443,128.9821779,61.47733679,18.17771196,155.0931834,240.2140207,61.61466616,47.27832611,23.43918853,4.324740364
05CL_2689,B73xCML254,933.1654993,987.3822453,47.50955513,171.7554967,77.76764799,22.36710739,880.2597386,899.4422857,18.60813163,151.9432151,72.48281326,19.00487537,52.90576071,87.93995952,28.90142351,19.8122816,5.284834726,3.362232026
05CL_2690,B73xCML254,989.2697738,1050.018149,51.88292368,147.8846434,66.43447288,22.2693601,933.4936355,940.9447633,8.00437327,124.7406183,67.63061202,19.17971936,55.7761383,109.0733855,43.87855041,23.14402509,-1.196139135,3.089640739
05CL_2691,B73xCML254,955.964769,1022.974783,56.5031462,150.2401249,65.30954098,20.87454162,874.8856859,885.550579,10.49274602,131.8046448,54.99112289,16.59237204,81.07908309,137.424204,46.01040018,18.43548003,10.31841809,4.282169578
05CL_2692,B73xCML254,990.2261884,1030.675556,31.31351419,195.9877535,87.85385007,20.83060843,923.1823178,929.5635069,6.848126495,143.2923346,71.97999291,17.90400571,67.0438706,101.1120486,24.4653877,52.69541888,15.87385716,2.926602716
05CL_2693,B73xCML254,1038.787513,1111.394225,57.97296206,178.2631316,79.91073615,23.71495753,946.8792749,934.1631765,-9.383733292,133.3290302,61.50314592,18.9535717,91.90823794,177.2310483,67.35669536,44.93410136,18.40759023,4.761385834
05CL_2694,B73xCML254,978.5434105,1008.605879,28.23001253,164.6224763,74.51136203,21.91869451,901.860379,907.3982888,6.837526201,136.6905925,64.27684129,18.07694384,76.68303145,101.2075899,21.39248633,27.93188377,10.23452074,3.841750678
05CL_2695,B73xCML254,996.7130446,1025.135292,27.46977396,178.5818037,71.41894742,20.37882942,908.5286322,898.9156365,-7.687714109,146.3646915,68.84382954,16.85073712,88.18441243,126.2196555,35.15748807,32.21711219,2.575117877,3.528092305
05CL_2696,B73xCML254,1024.1425,1097.036144,63.05851942,181.050442,76.39980046,21.91045731,880.4492992,891.3690702,11.06163999,149.9276701,75.14193806,18.24264643,143.6932006,205.6670738,51.99687944,31.12277194,1.257862396,3.667810886
05CL_2697,B73xCML254,1083.887189,1139.175423,42.23708494,168.0744781,72.6216643,21.81027239,929.8099073,939.2403229,10.14322401,142.4384853,60.75356939,17.82489365,154.0772818,199.9351006,32.09386093,25.63599288,11.86809491,3.98537874
05CL_2698,B73xCML254,1007.130638,1058.967629,38.13679375,162.5926907,69.48744731,21.88114369,944.8344842,948.6875679,5.387278136,148.3404462,74.52524985,19.49858008,62.29615357,110.2800612,32.74951561,14.25224445,-5.037802536,2.382563607
05CL_2699,B73xCML254,1081.153825,1148.940955,53.21662305,160.0094752,72.03266345,24.98840183,1000.925432,1012.756588,11.93592705,135.3670026,65.27250672,21.0114862,80.22839286,136.1843676,41.280696,24.64247262,6.760156727,3.976915629
05CL_2700,B73xCML254,999.4143426,1065.53926,53.83818293,187.2738238,80.48071508,22.57933326,930.6469571,941.9237006,11.29089475,147.509462,73.75178977,18.78982744,68.76738547,123.6155597,42.54728818,39.76436178,6.728925305,3.789505818
05CL_2702,B73xCML254,1017.062949,1047.072294,33.9696502,152.1681819,59.45454276,22.4711644,930.3497332,925.3624628,-0.950557257,131.6674764,54.46008513,20.50230154,86.71321542,121.7098314,34.92020745,20.50070555,4.99445763,1.968862853
05CL_2703,B73xCML254,964.5213767,982.0013385,18.05052251,172.5899656,87.01506703,21.9106972,917.7597586,936.674679,17.13426033,141.5466315,73.29885613,18.75584617,46.7616181,45.32665953,0.916262179,31.04333409,13.7162109,3.154851027
05CL_2704,B73xCML254,989.1681781,1052.129128,52.97530886,181.0998161,79.85457029,21.28057018,915.0873781,943.2597043,25.74649147,149.9926399,80.45029537,18.22348207,74.08079995,108.8694238,27.22881739,31.10717623,-0.59572508,3.057088106
05CL_2705,B73xCML254,945.4688291,990.0236227,36.53082616,168.7044745,73.95875171,22.43641549,959.2016929,971.7097343,12.38236411,138.5659121,73.61935103,19.70548266,-13.73286382,18.31388844,24.14846205,30.13856239,0.339400688,2.730932825
05CL_2708,B73xCML254,1064.003768,1083.62848,18.56676646,183.1965999,95.09274289,21.4145773,989.6865685,972.7242242,-12.77944252,141.1127263,75.88973573,18.65548147,74.3171995,110.9042563,31.34620898,42.08387362,19.20300716,2.759095831
05CL_2709,B73xCML254,979.8717439,1011.317947,24.6869638,203.9650227,87.37106552,21.60776616,899.061317,885.4365797,-11.32961,153.5453453,77.27037908,18.56678729,80.81042691,125.8813669,36.0165738,50.41967734,10.10068643,3.040978878
05CL_2710,B73xCML254,1029.367786,1053.355748,18.4834624,175.2595422,80.18211736,21.42217067,927.5174938,919.5013533,-4.834324296,145.8252755,69.45237851,18.22390698,101.8502925,133.8543948,23.3177867,29.43426669,10.72973886,3.198263684
05CL_2711,B73xCML254,945.2351208,985.639095,34.42313378,137.1150907,47.48079785,20.51741015,889.8988933,906.6921737,16.58538614,133.1098392,50.71065435,17.94587308,55.33622751,78.94692135,17.83774764,4.005251568,-3.229856504,2.571537069
05CL_2712,B73xCML254,953.2693892,1009.707909,46.14074483,165.7886635,66.48588942,21.02395047,903.6625553,921.5891849,18.49980768,141.4682055,65.31427795,18.27101609,49.60683394,88.11872389,27.64093714,24.32045794,1.171611472,2.752934372
05CL_2713,B73xCML254,1050.760356,1091.550345,31.34701274,173.3485125,83.96904021,22.51269855,897.070974,902.7015105,6.211949722,139.8807708,74.60437627,18.16714087,153.6893823,188.8488345,25.13506302,33.46774173,9.364663939,4.345557675
05CL_2715,B73xCML254,933.986884,952.3668132,13.89390632,167.0197087,79.04145333,19.54678016,902.9306962,898.7182797,-2.596774208,135.8885727,59.68402592,16.86171834,31.05618782,53.64853356,16.49068053,31.13113602,19.3574274,2.685061823
05CL_2716,B73xCML254,989.1441193,1063.01643,52.62051709,158.8851675,71.97727534,21.88949656,869.6697414,869.6049362,10.53463753,120.6814904,49.40097697,17.8467005,119.4743778,193.411494,42.08587956,38.20367709,22.57629837,4.042796065
05CL_2717,B73xCML254,1044.271713,1070.326125,21.3180778,159.4014094,66.39025928,24.03918501,882.2591066,885.4539126,5.0055644,132.0845805,56.47573256,18.96590718,162.0126062,184.8722122,16.3125134,27.3168289,9.914526723,5.07327783
05CL_2718,B73xCML254,952.4842187,994.6450085,31.5185221,181.1024839,78.7216467,21.79581344,905.357468,919.5416494,13.05980338,138.39706,66.31913094,18.99442288,47.12675076,75.103359,18.45871872,42.70542388,12.40251576,2.801390554
05CL_2720,B73xCML254,991.1514333,1028.520026,24.9068589,180.6198616,80.86814243,22.81355898,944.950184,935.728051,-5.823872266,142.7618594,72.59541705,20.0383981,46.20124926,92.79197451,30.73073117,37.8580022,8.272725381,2.775160871
05CL_2723,B73xCML254,941.9793135,1011.6558,56.91899869,183.3958131,76.4666684,21.16079658,882.372386,910.9589867,25.8888573,150.9854779,74.68168229,17.08768976,59.60692754,100.6968134,31.03014139,32.41033519,1.784986118,4.073106826
05CL_2724,B73xCML254,1041.7049,1131.831477,73.1370089,180.3021477,80.68009759,23.49319337,931.913116,949.503959,17.68651319,140.6913508,72.78092747,19.88265203,109.7917837,182.327518,55.4504957,39.61079693,7.899170119,3.610541342
05CL_2725,B73xCML254,1001.310658,1070.493712,54.46048411,141.9868685,58.49872254,20.98209432,935.4215262,967.9643549,29.95354268,119.3485652,54.25016175,17.74810073,65.88913154,102.5293571,24.50694144,22.63830321,4.248560782,3.233993594
05CL_2726,B73xCML254,1102.309934,1186.070421,74.73836102,162.0417833,76.32076925,23.23954673,912.3732017,909.1905834,-1.012969702,136.4700157,66.19186895,19.61161838,189.9367319,276.8798378,75.75133072,25.57176759,10.12890029,3.627928351
05CL_2727,B73xCML254,1056.128758,1142.290423,67.52179322,191.9350239,92.88158617,21.58035447,896.9079448,904.1841827,6.897567685,136.5634679,63.65128694,17.41181739,159.220813,238.1062398,60.62422554,55.37155604,29.23029923,4.168537077
05CL_2729,B73xCML254,991.6053353,1022.142765,28.02922594,167.7863423,65.55907821,23.03380831,927.5733888,921.0161106,-4.172745071,141.511518,61.25223395,18.3171609,64.03194647,101.1266545,32.20197101,26.27482432,4.30684426,4.716647414
05CL_2731,B73xCML254,993.0937502,1054.691438,53.62705766,165.9575659,85.57076322,24.02566645,964.4681309,972.5863727,9.441329777,138.1194994,81.50133961,20.37651364,28.62561935,82.10506512,44.18572788,27.83806652,4.069423618,3.649152809
05CL_2732,B73xCML254,1024.166158,1054.89641,25.30953137,190.0462614,90.12113926,20.84288557,911.7518486,904.3411455,-5.908957525,141.1818894,71.23999457,16.73652524,112.4143093,150.5552649,31.2184889,48.86437202,18.88114469,4.106360329
05CL_2734,B73xCML254,981.767253,1073.909676,71.22254716,167.7724119,61.36498699,21.49758355,883.7119646,912.4838969,25.6011274,133.7393226,53.68084792,17.05620724,98.05528845,161.4257793,45.62141976,34.03308926,7.684139064,4.441376306
05CL_2735,B73xCML254,953.5288285,1004.025355,36.21733135,180.6170301,82.33426183,20.0911844,908.9670861,919.3907175,11.48052608,146.4204812,69.46638887,16.78678652,44.56174243,84.63463709,24.73680527,34.1965489,12.86787296,3.30439788
05CL_2736,B73xCML254,926.9179517,988.070408,49.4132795,189.4686741,75.19628442,20.12423913,874.2209777,893.404542,18.39201061,153.5350568,61.28710186,18.23757587,52.69697404,94.665866,31.02126889,35.93361723,13.90918256,1.886663259
05CL_2737,B73xCML254,1007.037061,1031.449346,18.3787768,185.2077817,78.303107,24.24152073,920.3368297,916.7584039,-0.201027154,148.9541952,78.1949227,20.56178111,86.70023088,114.6909425,18.57980395,36.25358645,0.108184297,3.679739625
